Date,Company,Open,High,Low,Close,Volume
01-10-2024,Google,166.6277067,168.0883957,163.5374076,165.9321442,28338100
02-10-2024,Google,165.3657304,166.458768,163.6864341,164.8092804,17760200
03-10-2024,Google,163.3684692,165.5843379,162.8815678,164.8092804,15073100
04-10-2024,Google,166.9953435,167.1642647,164.4316859,166.0016785,19047400
07-10-2024,Google,166.6575185,167.4126986,161.7190015,161.9475403,22463100
08-10-2024,Google,162.901469,163.6864578,161.83824,163.3386841,23072700
09-10-2024,Google,162.4145644,163.7957584,158.7280753,160.8346405,31181800
10-10-2024,Google,159.8509116,162.0369872,159.3838878,161.0532532,14144100
11-10-2024,Google,161.1029483,162.8617249,160.2185869,162.2059174,15344300
14-10-2024,Google,162.6033633,165.1769524,162.3648782,163.9150085,19016100
15-10-2024,Google,164.7397309,166.6177573,163.5870909,164.4118347,20247200
16-10-2024,Google,163.4877099,164.7496688,162.7027212,164.1137238,16406000
17-10-2024,Google,164.6801232,165.3160683,161.7289364,161.8978577,21453400
18-10-2024,Google,162.1562116,163.6665868,162.0469079,162.3847504,19757700
21-10-2024,Google,161.9177093,163.4578931,161.589798,163.0306244,20946500
22-10-2024,Google,161.9475365,164.7198707,161.9475365,164.0938568,16568100
23-10-2024,Google,163.7162471,164.7695448,160.9041732,161.7487946,18280500
24-10-2024,Google,161.7984975,162.2953301,159.9900197,161.6891937,22412500
25-10-2024,Google,162.6331675,164.5410027,162.3847512,164.2230377,19828900
28-10-2024,Google,167.6809878,167.6809878,162.9113923,165.6638489,32138600
29-10-2024,Google,166.6674584,169.3006803,166.0315133,168.6051025,42169000
30-10-2024,Google,179.5354111,180.866934,172.9573527,173.3548279,68890800
31-10-2024,Google,172.0332546,175.6998815,169.916743,170.0260468,44769000
01-11-2024,Google,168.9926375,171.2283841,167.8101736,170.204895,31796500
04-11-2024,Google,168.8534933,169.6484284,166.9456583,168.1678772,21492700
05-11-2024,Google,168.3566849,169.4497227,167.7704261,168.6647339,18242100
06-11-2024,Google,172.6990064,175.8191143,172.4009038,175.3918304,33695500
07-11-2024,Google,176.2861424,179.9328918,176.0675349,179.6049805,25352900
08-11-2024,Google,179.5055866,179.7540028,176.9518753,177.2201691,22006200
11-11-2024,Google,177.4487279,179.4062495,177.3394242,179.2075195,17450400
12-11-2024,Google,178.6808819,181.3339662,178.253598,180.4694672,25134900
13-11-2024,Google,179.3168189,179.8136515,177.4089685,177.7468262,23184000
14-11-2024,Google,177.1506205,177.6872082,173.215715,174.4677277,31007500
15-11-2024,Google,172.6294434,173.0368498,170.1353494,171.3973083,32504600
18-11-2024,Google,172.3213885,174.3285961,171.8046785,174.1894836,20135300
19-11-2024,Google,172.6195174,177.7368871,172.4605274,176.9916382,23434900
20-11-2024,Google,176.2165738,176.5544163,172.6791283,174.8651886,18997100
21-11-2024,Google,172.7983698,173.0269237,162.6629879,166.5681,59734400
22-11-2024,Google,164.7993693,165.4055057,162.8617102,163.7162628,38604600
25-11-2024,Google,165.0378214,167.561739,164.5608664,166.5879364,33135300
26-11-2024,Google,166.5680785,168.7442074,166.5183922,168.0486298,20486700
27-11-2024,Google,167.9293898,168.4063447,166.9556023,168.1579285,19266500
29-11-2024,Google,167.4325383,168.3566394,166.1010309,167.8796844,14257200
02-12-2024,Google,167.7008403,170.9898689,167.5021104,170.4036102,23789100
03-12-2024,Google,170.4036212,171.5860699,169.7676762,170.2545624,22248700
04-12-2024,Google,170.065763,173.8019532,169.9763368,173.2653656,31615100
05-12-2024,Google,174.2491112,174.9446737,171.2383072,171.5463409,21356200
06-12-2024,Google,170.9402105,173.9708922,170.7712893,173.603241,21462400
09-12-2024,Google,173.0560935,175.3441304,172.7476916,174.4587555,25389600
10-12-2024,Google,181.8999028,185.3916591,180.1092527,184.20784,54813000
11-12-2024,Google,184.3471065,194.5935896,183.8895052,194.3846741,67894100
12-12-2024,Google,193.986752,194.1658094,190.713854,190.9625549,34817500
13-12-2024,Google,190.0174984,191.7285624,188.6546219,188.8336945,25143500
16-12-2024,Google,191.8678076,197.9659599,191.6191066,195.6381226,44934900
17-12-2024,Google,196.2250798,200.3734105,193.9668706,194.4045868,43504000
18-12-2024,Google,194.2056368,195.9763867,186.7645072,187.4210663,34166100
19-12-2024,Google,190.6342857,192.0270052,187.4011729,187.5304871,32265200
20-12-2024,Google,184.8146845,191.8877414,184.2575967,190.4154358,63462900
23-12-2024,Google,191.6191325,194.0862572,189.1619655,193.6186981,25675000
24-12-2024,Google,193.8275982,195.0910034,192.7731084,195.0910034,10403300
26-12-2024,Google,194.1359748,195.7276671,193.3699867,194.5836487,12046600
27-12-2024,Google,193.9370307,194.3051185,189.6593706,191.7584076,18891400
30-12-2024,Google,188.8137873,191.5494981,188.1373127,190.2463074,14264700
31-12-2024,Google,190.0871408,190.9625731,187.5304874,188.316391,17466900
02-01-2025,Google,189.6593559,191.0023473,186.5257297,188.445694,20370800
03-01-2025,Google,190.3756107,192.2060614,188.9928339,190.7934265,18596200
06-01-2025,Google,192.9720631,197.1900373,192.8427489,195.8470459,29563600
07-01-2025,Google,196.08579,199.9555765,193.5888378,194.4742126,26487200
08-01-2025,Google,191.5693959,195.2700525,191.3803807,192.942215,24864800
10-01-2025,Google,193.2904114,195.4988774,189.3211382,191.0421448,26665200
13-01-2025,Google,189.0823685,190.1865861,186.3864435,190.0174713,21823700
14-01-2025,Google,190.2463068,190.982452,187.3315234,188.6745148,17174900
15-01-2025,Google,192.0866808,195.3396938,190.8630762,194.533905,21776000
16-01-2025,Google,193.1312278,194.4642614,191.8081368,191.9076233,17815400
17-01-2025,Google,195.5088275,196.2051873,192.7432737,194.9815826,27735100
21-01-2025,Google,198.0356241,201.2388787,196.8418472,197.0209198,29971300
22-01-2025,Google,198.0256658,199.4382855,196.503617,197.3392487,26200600
23-01-2025,Google,197.110451,199.2592311,194.185725,196.9512787,26951400
24-01-2025,Google,197.0706713,199.8561102,196.9711848,199.1697083,23877500
27-01-2025,Google,191.4102124,195.8569868,189.738934,190.813324,41728900
28-01-2025,Google,191.7484641,194.4642747,189.6892126,194.2852173,24157900
