Date,Company,Open,High,Low,Close,Volume,Year,Month,Day,Price Change,Daily Return %,MA20,MA50
22-04-2020,Apple,66.05040482,67.08602785,65.71003239,66.65150452,116862400,2020,April,22,0.6010997,0.910062098,63.72605972,66.58386429
23-04-2020,Apple,66.59598944,68.01544335,66.35458592,66.39321136,124814400,2020,April,23,-0.20277808,-0.304489928,64.0822506,66.368629
24-04-2020,Apple,66.91705618,68.31960999,66.86877253,68.30995178,126161200,2020,April,24,1.3928956,2.081525518,64.37833176,66.15508392
27-04-2020,Apple,68.0275168,68.68896753,67.58092613,68.35824585,117087600,2020,April,27,0.33072905,0.486169517,64.80597897,65.95375351
28-04-2020,Apple,68.81932926,69.00038195,67.15847882,67.25020599,112004800,2020,April,28,-1.56912327,-2.280061847,65.09288788,65.72987625
29-04-2020,Apple,68.73481212,69.92734584,68.53203409,69.45902252,137280800,2020,April,29,0.7242104,1.053629708,65.49651432,65.57890259
30-04-2020,Apple,69.99737341,71.10058943,69.60871722,70.92436218,183064000,2020,April,30,0.92698877,1.324319363,66.13490658,65.43493011
01-05-2020,Apple,69.10174924,72.17964375,69.00518932,69.78250885,240616800,2020,May,1,0.68075961,0.985155394,66.6676836,65.28414917
04-05-2020,Apple,69.80664654,70.8977876,69.11864516,70.76984406,133568000,2020,May,4,0.96319752,1.379807751,67.29231472,65.1881189
05-05-2020,Apple,71.22853758,72.66247539,71.08369396,71.83204651,147751200,2020,May,5,0.60350893,0.847285302,67.71585751,65.18512573
06-05-2020,Apple,72.53208591,73.20318728,72.14825527,72.57312775,142333600,2020,May,6,0.04104184,0.056584392,68.21314774,65.24571808
07-05-2020,Apple,73.19837876,73.66911859,72.89662435,73.32390594,115215200,2020,May,7,0.12552718,0.171489017,68.66783257,65.29926178
08-05-2020,Apple,73.98230402,75.12239041,73.6555256,75.06913757,133838400,2020,May,8,1.08683355,1.469045286,69.18660202,65.48007141
11-05-2020,Apple,74.57778156,76.74418781,74.36960865,76.25039673,145946400,2020,May,11,1.67261517,2.242779465,69.70094757,65.68527847
12-05-2020,Apple,76.93295343,77.38318318,75.25792356,75.37895203,162301200,2020,May,12,-1.5540014,-2.01994247,70.00515251,65.75018204
13-05-2020,Apple,75.55809041,76.47791144,73.39410026,74.46883392,200622400,2020,May,13,-1.08925649,-1.441614636,70.29547462,65.84270142
14-05-2020,Apple,73.70876906,74.98682955,72.98743665,74.92631531,158929200,2020,May,14,1.21754625,1.65183365,70.58139229,65.87957748
15-05-2020,Apple,72.70180935,74.52933645,72.66791783,74.48334503,166348400,2020,May,15,1.78153568,2.450469522,70.89211388,65.95500595
18-05-2020,Apple,75.80500448,76.61105115,75.11514046,76.23828125,135178400,2020,May,18,0.43327677,0.571567501,71.36143455,66.08431457
19-05-2020,Apple,76.25520569,77.09998213,75.76625328,75.79772186,101729600,2020,May,19,-0.45748383,-0.599937835,71.91204605,66.31518173
20-05-2020,Apple,76.65460844,77.34204943,76.61587843,77.27185822,111504800,2020,May,20,0.61724978,0.805235057,72.44306374,66.4829776
